id,thread_id,sentence
112,1,"We made a low-cost centrifuge that can be useful for carrying out low-cost LAMP based detection of SARS-Cov2 virus in saliva. The 3D printed centrifuge (Mobilefuge) is portable, robust, stable, safe, easy to build and operate."
112,2,"The Mobilefuge doesn’t require soldering or programming skills and can be built without any specialised equipment, yet practical enough for high throughput use. More importantly, Mobilefuge can be powered from widely available USB ports, including mobile phones and associated power supplies."
112,3,This allows the Mobilefuge to be used even in off-grid and resource limited settings.
112,4,For this and other projects related to #Benchtop #Hardware #Behaviour visit https://openneuroscience.com
113,0,The Virtual Macaque Brain https://zenodo.org/record/1471588#.YH8YcpNKg6d  ... 🧵
113,1,A whole-cortex macaque structural connectome constructed from a combination of axonal tract-tracing and diffusion-weighted imaging data. Created for modeling brain dynamics using TheVirtualBrain (thevirtualbrain.org) platform.
113,2,A detailed description and example usage can be found in the paper here: https://www.nature.com/articles/s41597-019-0129-z
113,3,For this and other projects related to #Other #Journal visit https://openneuroscience.com
114,0,Load confound https://github.com/SIMEXP/load_confounds  ... 🧵
114,1,"Load a sensible subset of the fMRI confounds generated with fMRIprep in python (Esteban et al., 2018). The predefined denoising strategies are all adapted from Ciric et al. 2017. Check the docstring of each strategy for more info and a list of parameters."
114,2,It is also possible to fine-tune a subset of noise components and their parameters. This package is at an alpha stage of development. The API may still be subject to changes. The beta release is planned for May 2021.
114,3,"Reference: Ciric R, Wolf DH, Power JD, Roalf DR, Baum GL, Ruparel K, Shinohara RT, Elliott MA, Eickhoff SB, Davatzikos C., Gur RC, Gur RE, Bassett DS, Satterthwaite TD. Benchmarking of participant-level confound regression strategies for the control of motion artifact in studies of functional connectivity."
114,4,Neuroimage.
114,5,"2017. doi:10.1016/j.neuroimage.2017.03.020  Esteban O, Markiewicz CJ, Blair RW, Moodie CA, Isik AI, Erramuzpe A, Kent JD, Goncalves M, DuPre E, Snyder M, Oya H, Ghosh SS, Wright J, Durnez J, Poldrack RA, Gorgolewski KJ. fMRIPrep: a robust preprocessing pipeline for functional MRI. Nat Meth. 2018; doi: 10.1038/s41592-018-0235-4"
114,6,For this and other projects related to #CalciumImaging #Software #Behaviour #DataAnalysis visit https://openneuroscience.com
115,0,Clinica https://github.com/aramis-lab/clinica  ... 🧵
115,2,"Clinica is a software platform for clinical research studies involving patients with neurological and psychiatric diseases and the acquisition of multimodal data (neuroimaging, clinical and cognitive evaluations, genetics...), most often with longitudinal follow-up."
115,4,"Clinica provides tools to convert publicly available neuroimaging datasets into BIDS, namely: - ADNI: Alzheimer’s Disease Neuroimaging Initiative - AIBL: Australian Imaging, Biomarker & Lifestyle Flagship Study of Ageing - NIFD: Neuroimaging in Frontotemporal Dementia - OASIS: Open Access Series of Imaging Studies  Clinica can process any BIDS-compliant dataset with a set of complex processing pipelines involving different software packages for the analysis of neuroimaging data (T1-weighted MRI, diffusion MRI and PET data). Clinica also provides seamless integration between feature extraction and statistics, machine learning or deep learning and is showcased as a framework for reproducible classification of Alzheimer's disease."
115,5,For this and other projects related to #Benchtop #Hardware #MolecularBiology #Software visit https://openneuroscience.com
116,0,OpenSpritzer https://github.com/BadenLab/Openspritzer  ... 🧵
116,1,"Designed for ease of use, robustness and low-cost, the “Openspritzer” is an open hardware “Picospritzer” as routinely used in biological labs around the world. The performance of Openspritzer and commercial alternatives is effectively indistiguishable."
116,2,The system is based on a solenoid valve connected to a pressure gauge. Control can be attained directly via an external TTL pulse or internally through an Arduino set by a rotary encoder.
116,3,"The basic setup can be put together for 3-400€, or substantially less if you are prepare to shop around. We anticipate that due to its high performance and low cost Openspritzer will be of interest to a broad range of researchers working in the life and physical sciences. Source: CJ."
116,4,"Forman et al, 2017 -- https://www.nature.com/articles/s41598-017-02301-2"
116,5,For this and other projects related to #Software #DataAnalysis visit https://openneuroscience.com
117,0,Spikeling https://github.com/BadenLab/Spikeling  ... 🧵
117,1,"Understanding of how neurons encode and compute information is fundamental to our study of the brain, but opportunities for hands-on experience with neurophysiological techniques on live neurons are scarce in science education."
117,2,"Here, we present Spikeling, an open source £25 in silico implementation of a spiking neuron that mimics a wide range of neuronal behaviours for classroom education and public neuroscience outreach."
117,3,Spikeling is based on an Arduino microcontroller running the computationally efficient Izhikevich model of a spiking neuron.
117,4,"The microcontroller is connected to input ports that simulate synaptic excitation or inhibition, dials controlling current injection and noise levels, a photodiode that makes Spikeling light-sensitive and an LED and speaker that allows spikes to be seen and heard. Output ports provide access to variables such as membrane potential for recording in experiments or digital signals that can be used to excite other connected Spikelings."
117,5,These features allow for the intuitive exploration of the function of neurons and networks.  https://journals.plos.org/plosbiology/article? id=10.1371/journal.pbio.2006760
117,6,For this and other projects related to #Software #DataAnalysis visit https://openneuroscience.com
118,0,NeuroDesk https://neurodesk.github.io/  ... 🧵
118,1,Neuroimaging researchers require a diverse collection of bespoke command-line and graphical tools to analyse data and answer research questions.
118,2,"Installing and maintaining a neuroimaging software setup is challenging and often results in un-reproducible environments. Container technology, such as docker or singularity, enables the execution of software on different operating systems and could aid in distributing scientific software."
118,3,"We are developing NeuroDesk, a platform build on container technology for processing and analysing neuroimaging data with the aim to lower the barrier of using various neuroimaging software in a reproducible environment, so that researchers spend less time on setting up and maintaining an analysis environment."
118,4,For this and other projects related to #Hardware #Behaviour visit https://openneuroscience.com
119,0,BioAmp EXG Pill https://github.com/upsidedownlabs/BioAmp-EXG-Pill  ... 🧵
119,1,"BioAmp EXG Pill is a small, powerful Analog Front End (AFE) biopotential signal acquisition board that can be paired with any 5 V Micro Controller Unit (MCU) with an ADC."
119,2,"It is capable of recording publication-quality biopotential signals like ECG, EMG, EOG, and EEG, without the inclusion of any dedicated hardware or software filters."
119,3,"It’s small size allows easy integration into mobile and space-constrained projects, and it’s powerful noise rejection makes it usable even when the device is close to the AC mains supply. Any 1.5 mm diameter wire can be used as a strain-relieving electrode cable, making BioAmp EXG Pill very cost-effective in comparison to other options."
119,4,For this and other projects related to #DataRepositories #TutorialsLearningPortals #Microscopes #Optogenetics visit https://openneuroscience.com
12,0,Automated Operant Conditioning https://github.com/raffaelemazziotti/oc_chamber  ... 🧵
12,1,Operant conditioning (OC) is a classical paradigm and a standard technique used in experimental psychology in which animals learn to perform an action to achieve a reward.
12,2,"By using this paradigm, it is possible to extract learning curves and measure accurately reaction times (RTs). Both these measurements are proxy of cognitive capabilities and can be used to evaluate the effectiveness of therapeutic interventions in mouse models of disease."
12,3,"Here, we describe a fully 3D printable device that is able to perform OC on freely moving mice, while performing real-time tracking of the animal position. We successfully trained six mice, showing stereotyped learning curves that are highly reproducible across mice and reaching >70% of accuracy after 2 d of conditioning."
12,4,"Different products for OC are commercially available, though most of them do not provide customizable features and are relatively expensive."
12,5,"This data demonstrate that this system is a valuable alternative to available state-of-the-art commercial devices, representing a good balance between performance, cost, and versatility in its use."
12,6,For this and other projects related to #Software #DataAnalysis #AnimalElectrophysiology #HumanElectrophysiology visit https://openneuroscience.com
120,0,Autopilot https://docs.auto-pi-lot.com/  ... 🧵
120,1,"Autopilot is a Python framework for performing complex, hardware-intensive behavioral experiments with swarms of networked Raspberry Pis."
120,2,"As a tool, it provides researchers with a toolkit of flexible modules to design experiments without rigid programming & API limitations. As a vision, it dreams of bridging the chaotic hacky creativity of scientific programmers with a standardized, communally developed library of hardware control interfaces and reproducible experiment prototypes."
120,3,"Autopilot is supplemented by a semantically-enabled wiki that hosts a library of DIY hardware designs and technical knowledge, use what's there or submit your own: Autopilot is not prescriptive about what hardware you use, and can be extended to handle whatever you want to throw at it."
120,4,For this and other projects related to #Hardware #Simulations #Optogenetics #BehaviourMicroscopesCalciumImagingFluorescence visit https://openneuroscience.com
121,0,Diffusion MRI Q-ball CSA-ODF and Hough Tractography https://www.nitrc.org/projects/csaodf-hough  ... 🧵
121,1,"This is a diffusion-weighted MRI processing Matlab toolbox (including binaries), which can be used to: • Compute the Q-Ball Imaging Orientation Distribution Function in Constant Solid Angle (CSA-ODF) (Aganj et al, MRM 2010)."
121,2,"• Perform Hough-transform tractography (Aganj et al, MedIA 2011). • Visualize ODFs and tracts, and export them for further analysis. • Verify the correctness of the diffusion gradient table (Aganj, Sci Rep 2018). • Compute and interactively visualize the connectivity matrix."
121,3,"• Augment the connectivity matrix with indirect connections (Aganj et al, ISMRM 2014)."
121,4,For this and other projects related to #Hardware #Simulations #Optogenetics #BehaviourMicroscopesCalciumImagingFluorescence visit https://openneuroscience.com
122,0,Stalefish https://github.com/ABRG-Models/Stalefish  ... 🧵
122,1,Stalefish is a tool to analyse gene expression from ISH or other histology slice images. From your 2D brain slice images you can build a 3D expression surface from a brain structure such as the isocortex or the hippocampus.
122,2,"You can then convert the 3D surfaces into 2D expression maps, get depth-based expression or identify digital micro-punches for analysis."
122,3,For this and other projects related to #Software #Behaviour #DataAnalysis visit https://openneuroscience.com
123,0,The Open-Source UCLA Miniscope Project http://miniscope.org/index.php/Main_Page  ... 🧵
123,1,"One of the biggest challenges in neuroscience is to understand how neural circuits in the brain process, encode, store, and retrieve information."
123,2,Meeting this challenge requires tools capable of recording and manipulating the activity of intact neural networks in freely behaving animals. Head-mounted miniature fluorescence microscopes are among the most promising of these tools.
123,3,"Taking advantage of the past decade's advancements in fluorescent neural activity reporters, these microscopes use wide-field single photon excitation to image activity across large populations of neurons in freely behaving animals. They are capable of imaging the same neural population across months and in a wide range of animal models and different brain regions."
123,4,"Initiated six years ago, the Miniscope Project -- an open-source collaborative effort—was created to accelerate innovation of miniature microscope technology and to increase global access to this technology."
123,5,"Currently, we are working on advancements ranging from optogenetic stimulation and wire-free operation to simultaneous optical and electrophysiological recording. Using these systems, we have uncovered mechanisms underlying temporal memory linking and investigated causes of cognitive deficits in temporal lobe epilepsy."
123,6,"Through innovation and optimization, this work aims to extend the reach of neuroscience research and create new avenues of scientific inquiry."
123,7,For this and other projects related to #Software #Hardware #Microscopes #MolecularBiology visit https://openneuroscience.com
124,0,ACQ4 www.acq4.org  ... 🧵
124,1,"ACQ4 is a python-based platform for experimental neurophysiology developed at the Allen Institute for Brain Science and the University of North Carolina, Chapel Hill."
124,2,"It includes support for patch-clamp electrophysiology, multiphoton imaging, scanning laser photostimulation, and many other experimental techniques. ACQ4 is highly modular and extensible, allowing support to be added for new types of devices, techniques, user-interface modules, and analyses."
124,3,The latest ACQ4 version is available on github: https://github.com/acq4/acq4.git
124,4,For this and other projects related to #Software #Behaviour visit https://openneuroscience.com
125,0,Automated morphometric analysis with SMorph software reveals plasticity induced by antidepressant therapy in hippocampal astrocytes https://github.com/swanandlab/SMorph  ... 🧵
125,1,"Nervous system development and plasticity involves changes in cellular morphology, making morphological analysis a valuable exercise in the study of nervous system development, function and disease."
125,2,"Morphological analysis is a time-consuming exercise requiring meticulous manual tracing of cellular contours and extensions. We have developed a software tool, called SMorph, to rapidly analyse the morphology of cells of the nervous system. SMorph performs completely automated Sholl analysis."
125,3,"It extracts 23 morphometric features based on cell images and Sholl analysis parameters, followed by Principal Component Analysis. SMorph is tested on neurons, astrocytes and microglia and reveals subtle changes in cell morphology."
125,4,"Using SMorph, we found that chronic 21-day treatment with antidepressant desipramine results in a significant structural remodeling in hippocampal astrocytes."
125,5,"Given the proposed involvement of astroglial structural changes and atrophy in major depression in humans, our results reveal a novel kind of structural plasticity induced by chronic antidepressant administration."
125,6,For this and other projects related to #Software #Behaviour #HumanElectrophysiologyAnimalElectrophysiology visit https://openneuroscience.com
126,0,PUMA 3D Printed Open Source Microscope https://github.com/TadPath/PUMA  ... 🧵
126,1,"PUMA is 3D printed open source portable modular microscope with augmented reality, fluorescence, phase contrast, epi-illumination, epi- and trans-polarisation and other features."
126,2,You can either build it fully DIY or purchase the basic scope ready made and upgrade it as required (see below for details).
126,3,"It uses professional quality optics including the option of full Kohler illumination and oil-immersion, and has some very advanced features not usually found on even the most expensive commercially available microscopes. This includes a computer-controlled and programmable TFT-screen-based Spatial Light Modulator for optical Fourier filtration allowing for optimised / dynamic / adaptive apertures."
126,4,"Also, unique to any 3D printed microscope to date, an augmented reality projector system - which is also programmable. Some advanced applications you can do with these are AI microscopy, specimen-directed aperture optimisation, digital measurements, 3D tomography, Fourier ptychography, Schlieren phase contrast and more."
126,5,The system is fully customisable - the original FreeCAD source files are all available on the GitHub page so you can customise the scope to meed your individual project needs.
126,6,The PUMA system is also peer reviewed and published in the Journal of Microscopy ( https://onlinelibrary.wiley.com/doi/10.1111/jmi.13043 ) so you can easily reference it if you use a PUMA system for your own research.
126,7,If the DIY aspect puts you off then fully built 'Foundation scope' configuration PUMA microscopes (i.e. the full working basic microscope without advanced add-ons) can be purchased from the OptArc store (international tracked delivery is available) at https://www.optarc.co.uk where you can also download detailed user manuals as PDF files (free of charge) - just visit the 'Support' pages.
126,8,For this and other projects related to #Behaviour #Hardware #Software #Computers visit https://openneuroscience.com
127,0,"GuPPy, a Python toolbox for the analysis of fiber photometry data https://github.com/LernerLab/GuPPy  ... 🧵"
127,1,Fiber photometry (FP) is an adaptable method for recording in vivo neural activity in freely behaving animals.
127,2,"It has become a popular tool in neuroscience due to its ease of use, low cost, the ability to combine FP with freely moving behavior, among other advantages. However, analysis of FP data can be a challenge for new users, especially those with a limited programming background. Here, we present Guided Photometry Analysis in Python (GuPPy), a free and open-source FP analysis tool."
127,3,"GuPPy is provided as a Jupyter notebook, a well-commented interactive development environment (IDE) designed to operate across platforms. GuPPy presents the user with a set of graphic user interfaces (GUIs) to load data and provide input parameters."
127,4,"Graphs produced by GuPPy can be exported into various image formats for integration into scientific figures. As an open-source tool, GuPPy can be modified by users with knowledge of Python to fit their specific needs."
127,5,For this and other projects related to #Hardware #Benchtop #Software visit https://openneuroscience.com
128,0,DANDI: A data archive and collaboration space for neurophysiology https://dandiarchive.org/  ... 🧵
128,1,"The US BRAIN Initiative archive for publishing and sharing neurophysiology data including electrophysiology, optophysiology, and behavioral time-series, and images from immunostaining experiments."
128,2,"DANDI: Distributed Archives for Neurophysiology Data Integration is a Web platform for scientists to share, collaborate, and process data from cellular neurophysiology experiments."
128,3,"DANDI curates data using community data standards such such as NWB and BIDS, and to make data and software for cellular neurophysiology FAIR (Findable, Accessible, Interoperable, and Reusable)."
128,4,For this and other projects related to #Software #DataAnalysis #HumanNeuroscience visit https://openneuroscience.com
129,0,GeNN http://genn-team.github.io/genn/  ... 🧵
129,1,"GeNN is a GPU enhanced Neuronal Network simulation environment supporting multiple frontends and backends. Spiking neural network models can be specified directly in Python or C++ or through interfaces to Brian 2, SpineCreator (SpineML), or PyNN."
129,2,"GeNN generates optimised code for computational hardware including CPUs and accelerators that are supported through CUDA or OpenCL. For more details see: Knight, J. C., Komissarov, A., & Nowotny, T. (2021). PyGeNN: A Python Library for GPU-Enhanced Neural Networks."
129,3,"Frontiers in Neuroinformatics, 15(April), 1–12. Knight, J. C., & Nowotny, T. (2021). Larger GPU-accelerated brain simulations with procedural connectivity. Nature Computational Science, 1, 136-142. Knight, J. C., & Nowotny, T. (2018)."
129,4,"GPUs Outperform Current HPC and Neuromorphic Solutions in Terms of Speed and Energy When Simulating a Highly-Connected Cortical Model. Frontiers in Neuroscience, 12(December), 1–19. Yavuz, E., Turner, J. and Nowotny, T. (2016) GeNN: a code generation framework for accelerated brain simulations."
129,5,"Scientific Reports 6, 18854."
129,6,For this and other projects related to #Software #DataAnalysis #HumanElectrophysiology #HumanNeuroscience visit https://openneuroscience.com
13,0,Head-Mounted Mesoscope https://www.biorxiv.org/content/10.1101/2020.05.25.114892v1.full.pdf  ... 🧵
13,1,"The  advent  of  genetically encoded  calcium  indicators,  along  with  surgical  preparations  such  as thinned skulls or refractive index matched skulls, have enabled mesoscale cortical activity imaging in head-fixed mice."
13,2,"Such imaging studies have revealed complex patterns of coordinated activity across  the cortex during  spontaneous  behaviors,  goal-directed  behavior,  locomotion,  motor learning,and perceptual decision making."
13,3,"However, neural activity during unrestrained behavior significantly  differs from neural  activity in head-fixed  animals. Whole-cortex  imaging  in  freely behaving  mice  will  enable  the  study  of  neural  activity  in  a  larger,  more  complex  repertoire  of behaviors  not  possible  in  head-fixed  animals."
13,4,"Here  we present  the “Mesoscope,”  a  wide-field miniaturized, head-mounted fluorescence microscope compatible with transparent polymer skulls recently developed by our group."
